id,t,y,a,c,v
41.0,4.0,0.34068674,2.466802,0.93708104,-51.142174
41.0,5.0,0.37848717,1.9085791,0.9593442,-41.858356
41.0,6.0,0.77130646,1.3548185,1.3668166,-32.781548
41.0,7.0,1.0451353,0.7748043,1.5792179,-24.195654
41.0,8.0,1.8364611,0.24563439,1.96601,-15.9021435
41.0,9.0,1.5468388,0.1184545,1.6081823,-7.950625
42.0,0.0,0.7235395,0.5000186,0.75494987,-96.759254
42.0,1.0,0.68200016,0.47817162,0.65705734,-86.47417
42.0,2.0,0.5099616,0.513382,0.56548643,-76.253815
42.0,3.0,0.45467046,0.46720114,0.6034815,-66.08641
42.0,4.0,0.6469447,0.32488787,0.7935696,-56.186947
42.0,5.0,0.50590134,0.18190096,0.62307394,-46.747513
42.0,6.0,0.36898065,0.06604937,0.40966976,-37.27039
42.0,7.0,0.3965998,0.025877813,0.403804,-27.58509
42.0,8.0,0.46609855,0.019054692,0.46733055,-18.079796
42.0,9.0,0.5198801,0.01818641,0.52069473,-8.899722
43.0,0.0,1.3930918,3.8114977,1.6461788,-86.523865
43.0,1.0,1.4803352,3.6310313,1.7440403,-77.0101
43.0,2.0,1.3398387,3.4360468,1.7319574,-67.740295
43.0,3.0,1.2986826,3.106049,1.7789088,-58.64958
43.0,4.0,1.0515271,2.6794112,1.6251919,-49.764465
43.0,5.0,1.1241558,2.148721,1.6717975,-40.97801
43.0,6.0,1.3504852,1.6337543,1.9051344,-32.39159
43.0,7.0,1.1436359,1.1011276,1.7802984,-24.086124
43.0,8.0,1.4114499,0.4739439,1.7634199,-15.891418
43.0,9.0,1.7666231,0.12446325,1.8197724,-7.8529544
44.0,0.0,0.8986631,2.4196637,1.1298023,-89.28956
44.0,1.0,0.8820978,2.233188,1.1119024,-79.41086
44.0,2.0,0.77654135,2.0442686,1.0504557,-69.714264
44.0,3.0,0.76060975,1.8064839,1.0889418,-60.157417
44.0,4.0,0.53747475,1.5083182,0.9366791,-50.825356
44.0,5.0,0.65293914,1.1317489,1.1148139,-41.541138
44.0,6.0,1.1469921,0.683545,1.548272,-32.59964
44.0,7.0,1.671136,0.2880256,1.8189759,-24.120113
44.0,8.0,1.7072995,0.14304665,1.7635611,-15.943001
44.0,9.0,1.6775303,0.08855608,1.704308,-7.904601
45.0,0.0,1.1493206,9.489058,2.2168128,-84.737686
45.0,1.0,1.1776263,8.593433,2.2589884,-75.50289
45.0,2.0,1.6064353,7.665379,2.5431395,-66.46984
